energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,trans-fat_100g,cholesterol_100g,calcium_100g,iron_100g,potassium_100g,vitamin-c_100g,vitamin-a_100g,additives_n,ingredients_from_palm_oil_n,ingredients_that_may_be_from_palm_oil_n,ingredients_count,nutrition_grade_fr
146.0,0.88,0.59,2.35,1.76,0.0,4.71,0.23876,0.094,0.0,0.006,0.118,0.00021,0.006,0.0021,5.28e-05,6.0,0.0,0.0,16,a
146.0,0.88,0.59,2.35,1.76,0.0,5.29,0.14986,0.059,0.0,0.003,0.176,0.00021,0.015,0.0007,7.05e-05,10.0,0.0,0.0,23,a
418.0,1.18,0.59,18.82,16.47,0.6,3.53,0.1651,0.065,0.0,0.006,0.176,0.0,0.171,0.0014,7.05e-05,7.0,0.0,0.0,17,b
146.0,0.88,0.59,2.35,1.76,0.0,5.29,0.1651,0.065,0.0,0.003,0.176,0.00042,0.015,0.0021,7.05e-05,9.0,0.0,0.0,22,a
146.0,0.88,0.59,2.35,1.76,0.0,5.29,0.15748,0.062,0.0,0.003,0.176,0.00042,0.015,0.0007,7.05e-05,7.0,0.0,0.0,21,a
146.0,0.88,0.59,2.35,1.76,0.0,5.29,0.15748,0.062,0.0,0.003,0.176,0.00021,0.015,0.0,7.05e-05,11.0,0.0,0.0,23,a
469.0,1.18,0.59,20.59,18.82,0.0,4.12,0.17272,0.068,0.0,0.006,0.147,0.0,0.194,0.0028,7.05e-05,6.0,0.0,0.0,16,c
469.0,1.18,0.88,21.18,19.41,0.0,4.12,0.18034,0.071,0.0,0.006,0.147,0.0,0.194,0.0014,7.05e-05,6.0,0.0,0.0,18,c
197.0,0.0,0.0,7.06,5.88,0.6,4.12,0.18034,0.071,0.0,0.003,0.147,0.0,0.153,0.0007,5.28e-05,7.0,0.0,0.0,16,a
197.0,0.0,0.0,7.06,5.88,0.6,4.12,0.15748,0.062,0.0,0.003,0.147,0.0,0.159,0.0,5.28e-05,8.0,0.0,0.0,17,a
197.0,0.0,0.0,7.06,5.29,0.6,4.12,0.20828,0.082,0.0,0.003,0.147,0.0,0.153,0.0007,5.28e-05,5.0,0.0,0.0,16,a
197.0,0.0,0.0,6.47,5.29,0.6,4.12,0.15748,0.062,0.0,0.003,0.147,0.0,0.165,0.0007,5.28e-05,8.0,0.0,0.0,19,a
197.0,0.0,0.0,7.65,5.88,0.6,4.12,0.14986,0.059,0.0,0.003,0.147,0.0,0.171,0.0021,5.28e-05,8.0,0.0,0.0,18,a
197.0,0.0,0.0,7.06,5.29,0.6,3.53,0.15748,0.062,0.0,0.003,0.147,0.0,0.153,0.0,5.28e-05,9.0,0.0,0.0,18,a
418.0,1.18,0.88,18.24,16.47,0.0,3.53,0.14986,0.059,0.0,0.006,0.176,0.0,0.176,0.0014,7.05e-05,6.0,0.0,0.0,16,b
418.0,1.18,0.88,18.82,17.06,0.0,3.53,0.14986,0.059,0.0,0.006,0.176,0.0,0.153,0.0007,7.05e-05,6.0,0.0,0.0,16,b
418.0,1.18,0.88,17.65,16.47,0.0,3.53,0.14986,0.059,0.0,0.006,0.176,0.0,0.171,0.0014,7.05e-05,4.0,0.0,0.0,12,b
418.0,1.18,0.88,18.82,17.06,0.0,3.53,0.14986,0.059,0.0,0.006,0.176,0.0,0.171,0.0028,7.05e-05,7.0,0.0,0.0,17,b
146.0,0.88,0.59,2.35,1.76,0.0,5.29,0.15748,0.062,0.0,0.003,0.176,0.00042,0.015,0.0,0.0001764,7.0,0.0,0.0,22,a
146.0,0.88,0.59,2.35,1.76,0.0,5.29,0.18034,0.071,0.0,0.003,0.176,0.00042,0.015,0.0,8.82e-05,8.0,0.0,0.0,23,a
146.0,0.88,0.59,2.35,1.76,0.0,5.29,0.14986,0.059,0.0,0.006,0.176,0.00021,0.015,0.0007,7.05e-05,8.0,0.0,0.0,24,a
184.0,0.0,0.0,7.05,5.29,0.4,3.96,0.14986,0.059,0.0,0.002,0.132,0.0,0.163,0.0026,5.28e-05,7.0,0.0,0.0,16,a
837.0,16.67,11.67,6.67,3.33,0.0,3.33,0.381,0.15,0.0,0.067,0.133,0.0,0.133,0.0,0.0002001,6.0,0.0,0.0,11,d
837.0,20.0,11.67,3.33,3.33,0.0,3.33,0.127,0.05,0.0,0.067,0.133,0.0,0.133,0.0,0.0002001,0.0,0.0,0.0,1,d
837.0,16.67,11.67,6.67,3.33,0.0,3.33,0.21082,0.083,0.0,0.067,0.133,0.0,0.233,0.0,0.0002001,5.0,0.0,0.0,7,d
837.0,20.0,16.67,6.67,3.33,0.0,3.33,0.635,0.25,0.0,0.067,0.133,0.0,0.133,0.004,0.0002001,6.0,0.0,0.0,13,d
837.0,16.67,11.67,6.67,3.33,0.0,3.33,1.60782,0.633,0.0,0.067,0.133,0.0,0.167,0.0,0.0002001,12.0,0.0,0.0,24,e
837.0,16.67,11.67,10.0,6.67,0.0,3.33,1.44018,0.567,0.0,0.067,0.133,0.0,0.2,0.0,0.0002001,10.0,0.0,0.0,21,e
837.0,16.67,11.67,6.67,3.33,0.0,3.33,1.60782,0.633,0.0,0.067,0.133,0.0,0.167,0.0,0.0002001,12.0,0.0,0.0,25,e
146.0,0.88,0.59,2.35,1.76,0.0,5.29,0.14224,0.056,0.0,0.003,0.176,0.00021,0.015,0.0,7.05e-05,6.0,0.0,0.0,15,a
146.0,0.88,0.59,2.35,1.76,0.0,5.29,0.14224,0.056,0.0,0.003,0.176,0.00021,0.015,0.0,7.05e-05,9.0,0.0,0.0,20,a
176.0,0.0,0.0,10.0,8.33,0.0,0.42,0.00508,0.002,0.0,0.0,0.0,0.0,0.175,0.025,0.0,0.0,0.0,0.0,2,b
176.0,0.0,0.0,10.0,8.33,0.0,0.42,0.00508,0.002,0.0,0.0,0.125,0.0,0.175,0.025,0.0,3.0,0.0,0.0,6,b
176.0,0.0,0.0,10.0,8.33,0.0,0.83,0.00508,0.002,0.0,0.0,0.008,0.0003,0.175,0.025,0.0,0.0,0.0,0.0,3,b
837.0,16.67,11.67,10.0,3.33,0.0,3.33,1.44018,0.567,0.0,0.067,0.133,0.0,0.15,0.0,0.0002001,14.0,0.0,0.0,29,d
556.0,10.0,6.67,3.33,3.33,0.0,3.33,0.254,0.1,0.0,0.05,0.133,0.0,0.147,0.0,9.99e-05,2.0,0.0,0.0,4,c
280.0,0.0,0.0,10.0,6.67,0.0,3.33,0.21082,0.083,0.0,0.0,0.133,0.0,0.187,0.0,9.99e-05,5.0,0.0,0.0,10,a
314.0,1.04,0.62,13.75,12.5,0.4,3.75,0.20066,0.079,0.0,0.004,0.146,0.0,0.196,0.0,6.24e-05,1.0,0.0,0.0,10,b
176.0,0.0,0.0,10.0,8.33,0.0,0.83,0.00508,0.002,0.0,0.0,0.0,0.0,0.175,0.0325,0.0,0.0,0.0,0.0,2,b
1393.0,33.33,23.33,6.67,0.0,0.0,0.0,0.08382,0.033,0.0,0.133,0.133,0.0,0.1,0.0,0.0003999,2.0,0.0,1.0,5,d
1255.0,30.0,20.0,6.67,6.67,0.0,0.0,0.08382,0.033,0.0,0.133,0.133,0.0,0.107,0.0,0.0003999,2.0,0.0,1.0,5,d
1255.0,30.0,20.0,6.67,6.67,0.0,0.0,0.08382,0.033,0.0,0.133,0.133,0.0,0.107,0.0,0.0003999,2.0,0.0,0.0,4,d
1393.0,33.33,23.33,6.67,0.0,0.0,0.0,0.08382,0.033,0.0,0.133,0.133,0.0,0.1,0.0,0.0003999,1.0,0.0,1.0,4,d
837.0,16.67,11.67,10.0,3.33,0.0,3.33,1.27,0.5,0.0,0.067,0.133,0.0,0.133,0.004,0.0002001,8.0,0.0,0.0,23,d
176.0,1.04,0.62,5.0,4.58,0.0,3.33,0.127,0.05,0.0,0.004,0.125,0.0,0.162,0.001,6.24e-05,0.0,0.0,0.0,3,a
364.0,0.0,0.0,13.33,13.33,0.0,8.0,0.1016,0.04,0.0,0.003,0.233,0.0,0.093,0.0016,8.01e-05,3.0,0.0,0.0,14,a
720.0,3.91,3.12,26.56,21.88,0.0,4.69,0.19812,0.078,0.0,0.016,0.156,0.0,0.203,0.0019,0.0001407,4.0,0.0,0.0,18,c
799.0,5.15,3.68,32.35,27.94,0.0,4.41,0.2794,0.11,0.0,0.015,0.147,0.0,0.191,0.0018,0.0001323,6.0,0.0,0.0,21,d
874.0,6.72,4.48,29.85,19.4,1.5,4.48,0.20828,0.082,0.0,0.015,0.149,0.00054,0.284,0.0018,4.47e-05,6.0,0.0,0.0,36,c
812.0,5.97,3.73,31.34,23.88,0.0,4.48,0.1905,0.075,0.0,0.022,0.149,0.00054,0.194,0.0018,0.0001791,11.0,0.0,0.0,40,c
